institucion,puesto,requisitos,departamento,plazas,salario,fecha_limite,url,fecha_extraccion
MUNICIPALIDAD PROVINCIAL DE ANTA,CAS N° 003-2026: GERENTE DE INSTITUTO VIAL PROVINCIAL (IVP),PROFESIONAL TITULADO COLEGIADO Y HABILITADO EN INGENIERÍA CIVIL O AFINES,Cusco,1,5500,25/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-003-2026-gerente-instituto-vial-provincial-ivp-municipalidad-anta-cusco-600380.html,2026-05-12T23:14:26
MUNICIPALIDAD PROVINCIAL DE ANTA,CAS N° 003-2026: RESPONSABLE DE LA OFICINA DE OMAPED,"PROFESIONAL TITULADO COLEGIADO Y HABILITADO DE LAS CARRERAS DE SALUD, EDUCACIÓN O AFINES",Cusco,1,3000,25/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-003-2026-responsable-oficina-omaped-municipalidad-provincial-anta-cusco-600379.html,2026-05-12T23:14:26
MUNICIPALIDAD PROVINCIAL DE ANTA,CAS N° 003-2026: RESPONSABLE DEL CENTRO INTEGRAL DE ATENCIÓN AL ADULTO MAYOR - CIAM,"PROFESIONAL TITULADO COLEGIADO Y HABILITADO EN ECONOMÍA, ADMINISTRACIÓN Y/O CARRERAS AFINES",Cusco,1,3000,25/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-003-2026-responsable-del-centro-integral-atencion-adulto-municipalidad-provincial-anta-cusco-600378.html,2026-05-12T23:14:26
MUNICIPALIDAD PROVINCIAL DE ANTA,"CAS N° 003-2026: SUBGERENTE DE MERCADOS, CAMAL, CEMENTERIO Y POLICÍA MUNICIPAL","PROFESIONAL TITULADO, COLEGIADO Y HABILITADO EN BIOLOGÍA, ANTROPOLOGÍA, MEDICINA VETERINARIA Y/O CARRERAS AFINES AL CARGO",Cusco,1,4500,25/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-003-2026-subgerente-mercados-camal-cementerio-policia-municipalidad-provincial-anta-cusco-600377.html,2026-05-12T23:14:26
MUNICIPALIDAD PROVINCIAL DE ANTA,CAS N° 003-2026: SUBGERENTE DE CONTABILIDAD,"PROFESIONAL TITULADO, COLEGIADO Y HABILITADO EN CONTABILIDAD",Cusco,1,4500,25/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-003-2026-subgerente-contabilidad-municipalidad-provincial-anta-cusco-600376.html,2026-05-12T23:14:26
MUNICIPALIDAD PROVINCIAL DE ANTA,CAS N° 003-2026: ESPECIALISTA LEGAL,"PROFESIONAL TITULADO, COLEGIADO Y HABILITADO EN DERECHO",Cusco,1,3270,25/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-003-2026-especialista-legal-municipalidad-provincial-anta-cusco-600375.html,2026-05-12T23:14:26
MUNICIPALIDAD PROVINCIAL DE ANTA,CAS N° 003-2026: ASISTENTE TÉCNICO I,TÉCNICO TITULADO O BACHILLER UNIVERSITARIO EN CONTABILIDAD O DERECHO,Cusco,1,2700,25/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-003-2026-asistente-tecnico-municipalidad-provincial-anta-cusco-600374.html,2026-05-12T23:14:26
MUNICIPALIDAD PROVINCIAL DE ANTA,CAS N° 003-2026: AUXILIAR COACTIVO,"TÉCNICO TITULADO O BACHILLER UNIVERSITARIO EN DERECHO, CONTABILIDAD, ECONOMÍA, ADMINISTRACIÓN Y/O AFINES",Cusco,1,2700,25/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-003-2026-auxiliar-coactivo-municipalidad-provincial-anta-cusco-600373.html,2026-05-12T23:14:26
MUNICIPALIDAD PROVINCIAL DE ANTA,CAS N° 003-2026: CONDUCTOR,EGRESADO: TÉCNICO O UNIVERSITARIO. CON LICENCIA DE CONDUCIR AIIB.,Cusco,1,2400,25/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-003-2026-conductor-municipalidad-provincial-anta-cusco-600372.html,2026-05-12T23:14:26
MUNICIPALIDAD PROVINCIAL DE ANTA,CAS N° 003-2026: CONTROLADOR DE COMBUSTIBLE Y MATERIALES,"EGRESADO: TÉCNICO O UNIVERSITARIO EN ADMINISTRACIÓN, CONTABILIDAD Y/O AFINES",Cusco,1,2400,25/05/2026,https://www.convocatoriasdetrabajo.com/oportunidad-laboral-cas-003-2026-controlador-combustible-materiales-municipalidad-provincial-anta-cusco-600371.html,2026-05-12T23:14:26
